,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
280,A,5.268308029689608,3.57,8.25,1.35,2.6,3.2,11.2,6.11,7.6
281,B,5.791390457643622,3.07,8.8,1.33,2.1,2.9,8.6,6.67,19.0
282,C,5.0882612469260815,4.28,9.83,1.31,2.8,3.1,10.5,4.33,17.6
283,A,3.585789363484087,2.97,7.2,1.31,2.5999999999999996,2.9,11.600000000000001,3.51,16.8
284,B,3.3543200712589076,1.79,8.58,1.28,2.6,3.1,9.1,3.82,21.1
285,C,3.9237798109682385,2.5916049382716047,8.18,1.32,3.1999999999999997,3.9,9.7,4.01,14.7
286,A,4.102758354472262,3.27,9.53,1.32,2.0,3.2,11.100000000000001,3.77,9.0
287,B,3.732090145148969,1.77,9.05,1.32,2.8,3.6,10.7,4,12.7
288,C,3.5413057406458224,2.27,8.96,1.33,2.1,2.5,8.899999999999999,3.25,15.899999999999999
289,A,4.091728630798607,3.3,8.27,1.37,2.8,4.1,11.100000000000001,4.11,30.7
290,B,3.623502418797512,2.22,8.23,1.32,1.8,2.9,9.6,3.51,14.8
291,C,4.587605677904186,3.62,8.71,1.35,3.0,3,9.6,4.15,20.6
292,A,4.00233422340899,2.58,8.63,1.48,2.5,3.5,10.2,5.15,20.8
293,B,4.049747899159664,2.88,8.75,1.37,2.0,2.5,9.600000000000001,3.7,11.0
294,C,3.7457759281568284,2.28,8.58,1.34,2.3,2.9,10.399999999999999,3.9,12.2
295,A,3.923832407104718,2.23,8.21,1.38,3.1999999999999997,4,10.7,4.37,18.0
296,B,4.160316793893129,2.34,8.85,1.41,2.8,3.4,11.1,4.6,6.6
297,C,4.407217525773195,3.42,9.1,1.52,3.8,3.2,9.5,4.35,8.9
298,A,3.794830868948755,2.72,6.74,1.44,2.1,3.5,11.399999999999999,3.71,27.6
299,B,3.979233964569334,2.38,7.36,1.4,2.5,2.5,11.2,3.95,26.1
300,C,3.8756311895276037,2.08,10.23,1.43,2.7,2.9,9.9,3.51,24.7
301,A,3.782972635403656,3.0,7.7,1.46,2.5,2.4,11.1,3.18,8.1
302,B,3.4689001636661203,2.4,8.34,1.47,3.0,3.2,9.5,3.69,15.0
303,C,4.797210218455294,3.76,9.02,1.35,3.2,3.1,10.6,4.96,14.0
304,A,4.200285182000574,2.68,8.15,1.38,2.9000000000000004,3.4,13.0,4.78,22.4
305,B,4.710659494855005,2.93,8.69,1.46,3.5,3.9,11.100000000000001,3.71,20.3
306,C,4.782404761904761,1.95,8.59,1.38,3.5,4.1,12.2,3.63,23.4
307,A,3.815527219735609,1.99,8.77,1.42,2.2,3,10.6,3.23,9.8
308,B,3.6673901744833564,2.36,7.34,1.29,3.1999999999999997,3.6,10.0,4.35,20.7
309,C,3.4322059145673602,2.3,8.12,1.29,2.3,3.1,11.2,3.38,29.1
310,A,3.570648528595225,1.76,8.21,1.36,2.3,2.9,10.4,3.77,32.6
311,B,3.904943552234059,2.56,8.12,1.26,2.8,2.6,11.100000000000001,4.1,17.6
312,C,2.8949280519882405,2.12,7.73,1.27,2.8,3.3,11.8,3.33,25.4
313,A,,1.28,7.92,,1.0,1.3,4.1,3.01,18.4
314,B,,,,,0.0,,0.0,,
315,C,,,,,0.0,,0.0,,
316,A,,,,,0.0,,0.0,,
317,B,3.9486820973075107,2.6,8.44,,1.0,1.6,9.5,3.56,22.1
