,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10
941,B,4.234132061354284,3.31,9.37,1.42,2.2,2.9,6.0,4.12,8.4
942,C,5.592701749002761,4.6,9.3,1.5,2.0,2.5,5.2,5.84,10.7
943,A,5.316326092146097,3.73,10.76,1.39,2.0,3.7,7.1,5.65,13.5
944,B,4.768589974756581,3.73,9.14,1.3,1.9,2.3,5.2,4.03,14.6
945,C,4.757885077186964,2.75,9.0,1.39,2.5,3.2,5.2,5.72,15.0
946,A,5.227436969124983,4.48,7.37,1.35,1.6,2.1,5.3,4.98,6.9
947,B,5.194155315484578,4.18,9.01,1.41,2.1,3.2,6.3,5.01,7.4
948,C,4.991235833132385,4.0,8.9,1.58,2.4,3.6,6.9,4.97,9.8
949,A,5.554481583644329,3.9,9.06,1.45,1.9,2.1,5.1,5.74,15.0
950,B,4.4702661253946765,3.58,9.19,1.51,2.1,2.3,4.6,4.88,13.1
951,C,4.8840769557221675,3.36,9.0,1.57,2.6,3.6,5.2,5.39,11.4
952,A,4.927790272320824,3.4,8.95,1.45,1.9,3,4.9,5.24,11.4
953,B,4.768106361717505,3.286482213438735,8.670516431924884,1.59,2.0,2.7,5.7,5.395211267605634,18.5
954,C,4.871785392445261,2.5584000000000002,9.161350078492935,1.4,2.1,2.8,5.4,6.349450549450549,18.3
955,A,5.604519640832545,5.307874015748032,9.195,1.46,2.1,2.2,5.6,4.741700787401576,7.8
956,B,4.778813029897367,2.98,8.98,1.39,2.5,3.3,6.1,6.1,14.3
957,C,4.073270642792735,3.12,9.41,1.4,1.6,2.5,6.3,4.18,8.9
958,A,5.883775577557755,4.09,10.16,1.41,2.7,3.6,5.1,6.34,11.6
959,B,5.0780901198842505,3.78,11.16,1.39,1.8,3.2,5.2,4.86,7.4
960,C,5.129218889883616,3.6,11.09,1.38,1.5,2.3,4.9,5.4,13.9
961,A,5.680708482901945,4.51,10.4,1.43,2.3,3.3,4.9,5.23,10.700000000000001
962,B,4.115038404968132,1.92,9.1,1.41,2.1,2.9,6.2,5.44,15.0
963,C,5.439624224735498,3.71,9.13,1.37,2.0,3.1,6.3,5.97,14.9
964,A,5.709659875399899,3.94,7.01,1.32,2.6,2.9,6.2,6.77,14.0
965,B,4.593454545454545,3.12,7.45,1.34,1.9,3,5.6,5.31,15.7
966,C,6.581741003843018,4.91,9.12,1.37,1.9,2.7,4.8,7.73,16.0
967,A,4.588515827711468,3.54,8.52,1.44,2.4000000000000004,2.9,5.3,4.99,13.7
968,B,4.664929577464788,3.61,8.27,1.33,2.8,3.3,6.7,5.04,15.6
969,C,4.973439989378651,4.27,8.51,1.42,1.8,2.7,5.4,4.91,16.0
970,A,4.613111111111111,4.1,8.97,1.44,2.7,3.1,5.1,4.28,14.299999999999999
971,B,3.9413701824166782,2.79,8.7,1.36,2.1,2.9,6.0,4.21,16.1
972,C,5.3372719461549485,4.67,8.83,1.39,1.4,2.6,4.8,5.17,17.5
973,A,5.380245380187823,4.02,9.54,1.51,1.3,2.2,5.1,6.08,16.5
974,B,5.163625454545454,3.99,8.43,1.38,1.9,2.6,5.8,4.87,10.4
975,C,3.953206239168111,2.56,8.88,1.49,2.8,2.9,4.8,4.26,13.7
976,A,4.227823875802997,2.66,7.56,1.5,2.5,2.9,6.4,4.5,12.2
977,B,3.9108606173994387,3.33,8.94,1.47,1.9,2.4,5.1,3.71,10.3
978,C,5.040086810054419,4.15,7.82,1.43,2.6,2.9,5.8,4.87,18.5
979,A,5.113892744479496,4.39,6.03,1.69,2.0,2.8,4.9,5.5,25.900000000000002
980,B,4.679307598039216,3.43,7.97,1.43,2.1,2.9,6.1,4.87,15.7
981,C,4.850211036152915,3.82,9.6,1.31,2.3,3.1,5.8,4.75,8.700000000000001
982,A,4.758274002157497,3.1,9.74,1.32,2.7,2.9,5.9,4.8,10.5
983,B,5.294015736117416,3.28,9.02,1.32,2.1,2.7,5.4,6.45,12.8
984,C,5.733195921985815,5.04,8.34,1.44,2.5,2.5,5.3,5.56,9.799999999999999
985,A,5.285583256790447,3.23,10.2,1.39,1.3,2.2,5.5,5.53,15.399999999999999
986,B,4.3365903307888045,3.53,8.84,0,2.1,2.7,6.1,4.32,12.6
987,C,4.835422316614932,3.54,9.25,1.37,2.5,2.6,5.6,4.23,14.2
988,A,6.0279597821533315,3.76,9.22,0,2.6,3.5,6.4,5.19,18.5
989,B,,3.76,9.22,0,2.6,3.5,6.4,5.19,18.5
990,C,,3.76,9.22,0,2.6,3.5,6.4,5.19,18.5
991,A,6.018209318996416,3.45,9.01,0,2.7,3.1,5.9,5.2,9.4
992,B,5.586136919315403,2.66,9.39,1.36,1.7000000000000002,2.4,4.8,4.14,10.8
993,C,6.308469565217391,2.06,9.03,1.38,2.3,2.9,5.2,7.03,10.299999999999999
994,A,4.71392725355825,3.02,9.29,1.4,2.1,3.3,6.8,4.59,8.8
995,B,4.193741559953435,2.79,9.91,1.49,2.1,3.9,5.6,3.57,9.700000000000001
996,C,4.798851668045216,3.32,9.13,1.33,1.6,3.6,6.8,4.76,10.1
997,A,4.936693467336684,2.8,9.61,1.35,1.8,2.8,5.7,4.4,11.0
998,B,5.2631917591125195,3.64,7.9,1.42,2.2,2.6,5.2,5.72,15.6
999,C,4.834350601957897,3.352741935483871,9.521797752808988,1.28,1.3,2.5,5.9,4.884558587479935,11.2
1000,A,4.508888561320755,2.73,8.97,1.3,1.9,2.9,5.6,4.03,9.1
1001,B,4.095235238395959,2.7,8.9,1.32,2.4000000000000004,3.3,4.6,4.66,8.6
1002,C,4.658981543850196,3.62,9.28,1.31,1.9,2.7,6.8,4.99,9.6
1003,A,4.701728353140917,3.12,9.59,1.37,2.0,2.6,5.6,4.16,7.0
1004,B,4.917335520918787,3.19,9.88,1.35,2.1,2.4,5.2,5.04,15.5
1005,C,5.348285219399538,3.27,9.45,1.34,2.7,2.9,6.4,6.2,12.5
1006,A,,,,,,,,,
1007,B,,,,,,,,,
1008,C,,,,,,,,,
1009,A,,,,,,,,,
1010,B,,,,,,,,,
1011,C,,,,,,,,,
1012,A,,,,,,,,,
1013,B,,,,,,,,,
1014,C,,,,,,,,,
1015,A,,,,,,,,,
1016,B,,,,,,,,,
1017,C,,,,,,,,,
1018,A,,,,,,,,,
1019,B,,,,,,,,,
1020,C,,,,,,,,,
1021,A,,,,,,,,,
1022,B,,,,,,,,,
1023,C,,,,,,,,,
1024,A,,,,,,,,,
1025,B,,,,,,,,,
1026,C,,,,,,,,,
1027,A,,,,,,,,,
1028,B,,,,,,,,,
1029,C,,,,,,,,,
1030,A,,,,,,,,,
1031,B,,,,,,,,,
1032,C,,,,,,,,,
1033,A,,,,,,,,,
1034,B,,,,,,,,,
1035,C,,,,,,,,,
1036,A,,,,,,,,,
1037,B,,,,,,,,,
1038,C,,,,,,,,,
1039,A,,,,,,,,,
1040,B,,,,,,,,,
1041,C,,,,,,,,,
1042,A,,,,,,,,,
1043,B,,,,,,,,,
1044,C,,,,,,,,,
1045,A,,,,,,,,,
1046,B,,,,,,,,,
1047,C,,,,,,,,,
1048,A,,,,,,,,,
1049,B,,,,,,,,,
1050,C,,,,,,,,,
1051,A,,,,,,,,,
1052,B,,,,,,,,,
1053,C,,,,,,,,,
1054,A,,,,,,,,,
1055,B,,,,,,,,,
1056,C,,,,,,,,,
1057,A,,,,,,,,,
1058,B,,,,,,,,,
1059,C,,,,,,,,,
1060,A,,,,,,,,,
1061,B,,,,,,,,,
1062,C,,,,,,,,,
1063,A,,,,,,,,,
1064,B,,,,,,,,,
1065,C,,,,,,,,,
1066,A,,,,,,,,,
1067,B,,,,,,,,,
1068,C,,,,,,,,,
1069,A,,,,,,,,,
1070,B,,,,,,,,,
1071,C,,,,,,,,,
1072,A,,,,,,,,,
1073,B,,,,,,,,,
1074,C,,,,,,,,,
1075,A,,,,,,,,,
1076,B,,,,,,,,,
1077,C,,,,,,,,,
1078,A,,,,,,,,,
1079,B,,,,,,,,,
1080,C,,,,,,,,,
1081,A,,,,,,,,,
1082,B,,,,,,,,,
1083,C,,,,,,,,,
1084,A,,,,,,,,,
1085,B,,,,,,,,,
1086,C,,,,,,,,,
1087,A,,,,,,,,,
1088,B,,,,,,,,,
1089,C,,,,,,,,,
1090,A,,,,,,,,,
1091,B,,,,,,,,,
1092,C,,,,,,,,,
1093,A,,,,,,,,,
1094,B,,,,,,,,,
1095,C,,,,,,,,,
1096,A,,,,,,,,,
1097,B,,,,,,,,,
1098,C,,,,,,,,,
