,Shift,WROM_Al2O3,SO_Al2O3,SL_Al2O3,SL_PulpDen,SL_60,SL_100,SL_300,CFO_Al2O3,CFO_10,Date
727,A,3.8660753128289085,2.05,9.01,1.38,1.9000000000000001,2.3,10.899999999999999,3.99,13.6,2023-11-29
730,A,2.9329618654985827,2.28,4.55,1.51,2.7,2.8,10.5,3.04,13.0,2023-11-30
733,A,3.176140015910899,1.75,8.61,1.4,2.9000000000000004,3.8,11.6,2.7,9.2,2023-12-01
736,A,4.750645315487572,2.43,8.87,1.34,0.9,2.8,11.2,5.28,8.6,2023-12-02
739,A,3.2005614591593967,1.41,7.52,1.42,2.1,2.6,9.3,4.22,8.6,2023-12-03
742,A,3.3308810317345316,2.27,7.89,1.43,2.1,2.9,9.9,3.4,12.799999999999999,2023-12-04
745,A,3.7819815092453775,2.25,8.97,1.4,1.9,2.1,9.3,3.48,15.6,2023-12-05
748,A,4.548999632668054,2.48,10.8,1.36,2.1,2.9,10.1,4.55,15.0,2023-12-06
751,A,4.586526867627785,2.56,8.74,1.34,2.1,2.3,9.8,4.45,10.0,2023-12-07
754,A,4.516919495635305,1.98,8.35,1.36,2.5999999999999996,3.1,10.600000000000001,3.75,34.6,2023-12-08
757,A,2.343218906330861,1.28,8.44,1.33,1.6,2.4,9.3,3.2,11.6,2023-12-09
760,A,3.7700175151798225,2.71,8.74,1.37,1.9,2.8,8.0,4.7,14.9,2023-12-10
763,A,3.2641595059076263,2.32,5.81,1.49,2.5,3,9.100000000000001,3.86,15.4,2023-12-11
766,A,3.745619554695063,2.48,8.96,1.42,2.7,2.2,8.8,4.18,10.3,2023-12-12
790,A,3.658133016627078,1.37,8.52,1.36,2.8,2.9,10.399999999999999,3.39,9.3,2023-12-20
793,A,3.7277205531711974,2.57,6.57,1.36,2.0,2.4,11.899999999999999,3.96,5.1,2023-12-21
796,A,4.208054075133238,1.92,8.21,1.37,2.0,2.9,10.399999999999999,3.19,4.6,2023-12-22
799,A,3.418008485471844,1.91,7.86,1.52,2.7,3,10.6,3.13,6.5,2023-12-23
802,A,3.845956384015594,2.8,8.17,1.37,2.2,3.1,10.7,3.73,9.0,2023-12-24
805,A,4.052682387619749,2.67,9.51,1.39,2.3,3.3,10.6,3.36,8.0,2023-12-25
808,A,3.263239312472455,2.1,9.59,1.38,1.6,3,10.0,3.76,6.9,2023-12-26
811,A,4.17265519219736,2.9,8.61,1.32,2.3,3.3,10.6,3.56,8.0,2023-12-27
814,A,5.279949494949495,3.04,10.17,1.3,1.7000000000000002,2.9,10.7,3.97,22.1,2023-12-28
817,A,4.891818071705426,3.76,9.66,1.29,2.0,2.3,9.9,5.55,10.600000000000001,2023-12-29
820,A,4.594637146371463,3.59,10.05,1.31,1.4,2.8,9.2,4.5,5.6,2023-12-30
823,A,4.224553824362606,3.32,10.34,1.39,2.0,2.8,10.399999999999999,4.44,5.4,2023-12-31
826,A,3.276694392657393,2.61,9.05,1.31,1.9,2.9,9.8,3.85,8.2,2024-01-01
829,A,5.378826479438315,4.45,9.08,1.4,2.4000000000000004,2.6,9.3,5.46,6.5,2024-01-02
832,A,4.708564537348341,3.78,7.72,1.22,2.7,.4.2,12.1,4.57,7.1,2024-01-03
835,A,5.290590918104303,3.28,10.01,1.38,2.2,2.6,10.1,5.8,7.1,2024-01-04
838,A,3.2004169148302566,1.75,8.27,1.33,2.6,2.9,8.7,3.42,6.800000000000001,2024-01-05
841,A,4.161944961446424,3.48,6.88,1.37,2.4000000000000004,2.3,9.7,4.41,6.8,2024-01-06
